ID,item_category_name,active_flag
25,Games - Accessories for games,
5,Accessories - PSVita,
62,"Gifts - gadgets, robots, sports",
15,Game consoles - XBOX 360,
14,Game consoles - PSVita,
21,Games - PSP,
41,Cinema - Collector,
82,Net carriers (piece),
39,Movie - Blu-Ray 4K,
42,"Books - artbook, encyclopedia",
3,Games - Accessories for games,X
34,Payment cards - Live! (Numeral),
37,Movies - Blu-Ray,
48,Books - Computer Books,
75,Program - For home and office,
32,"Payment card (Movies, Music, Games)",
54,Books - Digital,
67,Gifts - Development,
10,Game consoles - PS2,
45,Books - Audiobooks 1C,
46,Books - Business Books,
50,Books - Postcards,
78,Programs - Educational (figure),
9,Tickets (digits),X
35,Payment cards - PSN,
22,Games - PSVita,
30,Games PC - Standard Edition,
53,Books - Fiction,
17,Gifts - Souvenirs,X
60,Music - Gift Edition,
77,Program - Educational,
56,Music - CD production firm,
60,Gifts - Development,X
2,Accessories - PS3,
38,Movies - Blu-Ray 3D,
44,Books - Audiobooks (figure),
80,Utilities - Tickets,
11,Game consoles - PS3,
19,Games - PS3,
23,Games - XBOX 360,
65,"Payment card (Movies, Music, Games)",X
28,Games PC - Additional publications,
1,Accessories - PS2,
46,Accessories - XBOX 360,X
68,"Gifts - certificates, services",
64,Gifts - Board Games,
66,"Gifts - Cards, Stickers",
39,"Gifts - Cards, Stickers",X
58,Music - Vinyl,
71,"Gifts - Bags, Albums, Mats d / mouse",
9,Delivery of goods,
7,Accessories - XBOX ONE,
8,Tickets (digits),
31,Games PC - Digital,
47,"Books - Comics, Manga",
12,Game consoles - PS4,
29,Games PC - Collector's Edition,
73,Program - 1C: Enterprise 8,
76,Program - Home & Office (Digital),
4,Accessories - PSP,
20,Games - PS4,
51,Books - Informative literature,
16,Game consoles - XBOX ONE,
36,Payment card - Windows (figure),
3,Accessories - PS4,
57,Music - MP3,
13,Game consoles - PSP,
52,Books - Travel Guides,
59,Music - Music video,
10,Game consoles - XBOX ONE,X
13,"Gifts - certificates, services",X
49,Books - Methodical materials 1C,
72,Gifts - Figures,
83,batteries,
17,Game consoles - Other,
40,Movie - DVD,
55,Music - CD of local production,
74,Program - MAC (figure),
6,Accessories - XBOX 360,
26,Games Android - Digital,
65,Gifts - Games (compact),
66,Gifts - Games (compact),X
69,Gifts - Souvenirs,
18,Games - PS2,
43,Books - Audiobooks,
43,Accessories - PS4,X
61,Gifts - Attributes,
81,Net carriers (spire),
70,Gifts - Souvenirs (weighed in),
79,System Tools,
24,Игры - XBOX ONE,
27,Games MAC - Digital,
63,Gifts - Soft Toys,
0,PC - Headsets / Headphones,
33,Payment cards - Live!,
